day,time,activity
monday,0:00,sleeping
monday,0:30,sleeping
monday,1:00,sleeping
monday,1:30,sleeping
monday,2:00,sleeping
monday,2:30,sleeping
monday,3:00,sleeping
monday,3:30,sleeping
monday,4:00,sleeping
monday,4:30,sleeping
monday,5:00,sleeping
monday,5:30,sleeping
monday,6:00,sleeping
monday,6:30,sleeping
monday,7:00,sleeping
monday,7:30,sleeping
monday,8:00,sleeping
monday,8:30,sleeping
monday,9:00,showering
monday,9:30,meditating
monday,10:00,cooking
monday,10:30,eating
monday,11:00,working
monday,11:30,working
monday,12:00,working
monday,12:30,working
monday,13:00,cooking
monday,13:30,eating
monday,14:00,working
monday,14:30,working
monday,15:00,working
monday,15:30,working
monday,16:00,reading
monday,16:30,reading
monday,17:00,working
monday,17:30,workout
monday,18:00,workout
monday,18:30,eating
monday,19:00,eating
monday,19:30,eating
monday,20:00,recreation
monday,20:30,recreation
monday,21:00,recreation
monday,21:30,family
monday,22:00,family
monday,22:30,family
monday,23:00,sleeping
monday,23:30,sleeping
tuesday,0:00,sleeping
tuesday,0:30,sleeping
tuesday,1:00,sleeping
tuesday,1:30,sleeping
tuesday,2:00,sleeping
tuesday,2:30,sleeping
tuesday,3:00,sleeping
tuesday,3:30,sleeping
tuesday,4:00,sleeping
tuesday,4:30,sleeping
tuesday,5:00,sleeping
tuesday,5:30,sleeping
tuesday,6:00,sleeping
tuesday,6:30,sleeping
tuesday,7:00,sleeping
tuesday,7:30,sleeping
tuesday,8:00,sleeping
tuesday,8:30,showering
tuesday,9:00,meditating
tuesday,9:30,cooking
tuesday,10:00,eating
tuesday,10:30,studying
tuesday,11:00,studying
tuesday,11:30,studying
tuesday,12:00,studying
tuesday,12:30,studying
tuesday,13:00,studying
tuesday,13:30,studying
tuesday,14:00,studying
tuesday,14:30,studying
tuesday,15:00,studying
tuesday,15:30,studying
tuesday,16:00,studying
tuesday,16:30,studying
tuesday,17:00,studying
tuesday,17:30,studying
tuesday,18:00,workout
tuesday,18:30,workout
tuesday,19:00,eating
tuesday,19:30,eating
tuesday,20:00,eating
tuesday,20:30,recreation
tuesday,21:00,recreation
tuesday,21:30,recreation
tuesday,22:00,recreation
tuesday,22:30,recreation
tuesday,23:00,studying
tuesday,23:30,studying
wednesday,0:00,sleeping
wednesday,0:30,sleeping
wednesday,1:00,sleeping
wednesday,1:30,sleeping
wednesday,2:00,sleeping
wednesday,2:30,sleeping
wednesday,3:00,sleeping
wednesday,3:30,sleeping
wednesday,4:00,sleeping
wednesday,4:30,sleeping
wednesday,5:00,sleeping
wednesday,5:30,sleeping
wednesday,6:00,sleeping
wednesday,6:30,sleeping
wednesday,7:00,sleeping
wednesday,7:30,sleeping
wednesday,8:00,showering
wednesday,8:30,meditating
wednesday,9:00,studying
wednesday,9:30,studying
wednesday,10:00,exam
wednesday,10:30,exam
wednesday,11:00,exam
wednesday,11:30,exam
wednesday,12:00,cooking
wednesday,12:30,cooking
wednesday,13:00,family
wednesday,13:30,family
wednesday,14:00,recruiting
wednesday,14:30,working
wednesday,15:00,working
wednesday,15:30,working
wednesday,16:00,working
wednesday,16:30,working
wednesday,17:00,workout
wednesday,17:30,workout
wednesday,18:00,eating
wednesday,18:30,eating
wednesday,19:00,eating
wednesday,19:30,eating
wednesday,20:00,sleeping
wednesday,20:30,sleeping
wednesday,21:00,recreation
wednesday,21:30,recreation
wednesday,22:00,recreation
wednesday,22:30,studying
wednesday,23:00,studying
wednesday,23:30,studying
thursday,0:00,family
thursday,0:30,family
thursday,1:00,family
thursday,1:30,sleeping
thursday,2:00,sleeping
thursday,2:30,sleeping
thursday,3:00,sleeping
thursday,3:30,sleeping
thursday,4:00,sleeping
thursday,4:30,sleeping
thursday,5:00,sleeping
thursday,5:30,sleeping
thursday,6:00,sleeping
thursday,6:30,sleeping
thursday,7:00,sleeping
thursday,7:30,sleeping
thursday,8:00,sleeping
thursday,8:30,sleeping
